Product_ID,Date,Product_Name,Brand,Category,Gender,Material,Size,Rating,Reviews_Count,Stock_Quantity,Sales_Quantity,Competitor_Price,Discount_Percentage,Original_Price,Price
PROD_1034,2024-05-08,Reebok Zig Dynamica 4,Reebok,Running,Men,Mesh,9,4.1,230,105,38,3400.00,30,4200.00,2940.00
PROD_1035,2024-05-12,Skechers Uno Stand on Air,Skechers,Sneakers,Women,Synthetic,7,4.6,560,95,50,4100.00,18,4600.00,3772.00
PROD_1036,2024-05-15,Bata Red Label Stiletto,Bata,Formal,Women,Synthetic,6,3.7,110,130,28,2100.00,25,2600.00,1950.00
PROD_1037,2024-05-19,Woodland Heavy Duty Boot,Woodland,Boots,Men,Leather,9,4.5,410,65,24,4700.00,15,5100.00,4335.00
PROD_1038,2024-05-23,Asics Gel-Cumulus 25,Asics,Running,Men,Mesh,10,4.6,380,70,45,5800.00,15,6200.00,5270.00
PROD_1039,2024-05-27,Under Armour Project Rock 6,Under Armour,Training,Men,Knit,10,4.8,320,50,35,7100.00,10,7600.00,6840.00
PROD_1040,2024-05-31,Campus First Casual,Campus,Casual,Men,Canvas,8,4.0,460,260,82,850.00,30,1100.00,770.00
PROD_1041,2024-06-04,Nike Dunk Low Retro,Nike,Sneakers,Unisex,Leather,9,4.8,920,45,65,7200.00,5,7500.00,7125.00
PROD_1042,2024-06-08,Adidas Galaxy 6,Adidas,Running,Men,Mesh,9,4.1,390,170,58,2700.00,32,3400.00,2312.00
PROD_1043,2024-06-12,Puma Velocity Nitro 2,Puma,Running,Women,Mesh,7,4.5,210,85,34,4400.00,20,4900.00,3920.00
PROD_1044,2024-06-16,Reebok Classic Leather,Reebok,Sneakers,Men,Leather,8,4.6,630,90,47,4200.00,15,4500.00,3825.00
PROD_1045,2024-06-20,Skechers Max Cushioning,Skechers,Running,Men,Mesh,10,4.5,350,85,39,4700.00,22,5300.00,4134.00
PROD_1046,2024-06-24,Bata Power Walker,Bata,Walking,Men,Mesh,8,4.0,240,190,52,1400.00,20,1700.00,1360.00
PROD_1047,2024-06-28,Woodland Casual Sneaker,Woodland,Casual,Men,Suede,8,4.2,180,100,30,3100.00,25,3700.00,2775.00
PROD_1048,2024-07-02,Asics Gel-Venture 9,Asics,Running,Men,Synthetic,9,4.4,420,110,48,3900.00,18,4300.00,3526.00
PROD_1049,2024-07-06,Under Armour Micro G Pursuit,Under Armour,Running,Women,Mesh,7,4.3,270,120,40,3300.00,25,3900.00,2925.00
PROD_1050,2024-07-10,Campus King Pro,Campus,Running,Men,Mesh,9,3.9,380,240,76,1050.00,30,1350.00,945.00
